ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
14.06,162.4,Dede Westbrook,WR,JAX,47,12.9,132,179,9
14.07,162.7,Andy Dalton,QB,CIN,22,15.3,125,180,9
14.07,163.2,Ricky Seals-Jones,TE,ARI,33,14.9,125,181,9
14.08,163.6,Frank Gore,RB,MIA,30,17.9,122,184,11
14.08,163.6,Spencer Ware,RB,KC,26,17.5,118,183,12
14.08,164.0,Jake Elliott,PK,PHI,51,9.2,139,180,9
14.08,164.1,TJ Yeldon,RB,JAX,24,13.9,132,180,9
14.08,164.1,Pittsburgh Defense,DEF,PIT,96,11.1,135,186,7
14.09,164.7,Christian Kirk,WR,ARI,20,10.1,138,180,9
14.09,164.7,Danny Amendola,WR,MIA,28,12.8,136,182,11
14.10,165.6,Austin Ekeler,RB,LAC,50,14.1,133,190,8
14.10,165.7,Courtland Sutton,WR,DEN,38,14.9,126,192,10
14.10,166.1,Daniel Carlson,PK,MIN,42,36.5,71,185,10
14.10,166.2,Atlanta Defense,DEF,ATL,32,7.3,152,179,8
14.11,167.3,Tyrell Williams,WR,LAC,24,10.1,148,188,8
14.12,167.8,Rishard Matthews,WR,TEN,20,14.1,131,182,8
14.12,167.9,Matt Bryant,PK,ATL,40,6.4,156,180,8
14.12,168.3,Harrison Butker,PK,KC,43,8.5,146,187,12
14.12,168.4,Chris Boswell,PK,PIT,51,9.0,145,180,7
15.01,168.8,Arizona Defense,DEF,ARI,29,9.0,146,182,9
15.01,169.1,Mason Crosby,PK,GB,58,10.9,140,182,7
15.02,169.8,Matt Prater,PK,DET,61,4.6,162,179,6
15.03,171.2,Dan Bailey,PK,DAL,37,7.9,150,185,8
15.04,172.1,Robbie Gould,PK,SF,57,4.3,163,180,11
15.05,173.4,Adam Vinatieri,PK,IND,22,5.6,158,180,9
15.07,175.1,Graham Gano,PK,CAR,20,3.4,168,179,4
