ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
11.06,125.6,Allen Hurns,WR,DAL,76,9.6,100,140,8
11.06,125.9,Matt Breida,RB,SF,384,24.0,63,177,11
11.06,126.2,Nick Chubb,RB,CLE,123,11.7,95,150,11
11.08,128.2,Baltimore Defense,DEF,BAL,68,12.6,95,163,10
11.09,128.6,D.J. Moore,WR,CAR,65,9.7,103,145,4
11.09,128.7,Houston Defense,DEF,HOU,64,13.9,92,147,10
11.09,128.7,Michael Gallup,WR,DAL,95,8.7,106,143,8
11.09,129.3,Corey Clement,RB,PHI,127,10.8,101,149,9
11.09,129.5,Ty Montgomery,RB,GB,101,12.8,96,152,7
11.11,131.2,Tyler Lockett,WR,SEA,113,8.3,109,149,7
11.11,131.4,Kenny Golladay,WR,DET,81,14.6,93,161,6
12.01,133.3,George Kittle,TE,SF,267,17.3,88,170,11
12.04,135.6,Alex Smith,QB,WAS,87,6.4,119,151,4
12.05,136.7,Marcus Mariota,QB,TEN,75,11.8,105,168,8
12.05,137.4,Denver Defense,DEF,DEN,58,16.0,95,178,10
12.08,139.6,Chris Godwin,WR,TB,83,11.8,108,167,5
12.10,141.9,Anthony Miller,WR,CHI,59,10.8,113,165,5
12.10,142.1,Derek Carr,QB,OAK,98,12.8,108,178,7
12.11,143.4,Geronimo Allison,WR,GB,85,11.6,113,167,7
12.12,143.6,Giovani Bernard,RB,CIN,127,12.9,110,172,9
12.12,144.0,Greg Zuerlein,PK,LAR,238,19.0,94,159,12
13.02,145.9,Jordan Wilkins,RB,IND,113,12.4,113,178,9
13.02,146.1,Cameron Meredith,WR,NO,64,14.0,109,169,6
13.03,147.1,New Orleans Defense,DEF,NO,60,15.2,107,177,6
13.05,148.8,Tyler Eifert,TE,CIN,194,19.4,98,179,9
13.06,150.5,Stephen Gostkowski,PK,NE,112,9.7,125,162,11
13.08,151.8,Jameis Winston,QB,TB,54,11.9,122,177,5
13.09,153.1,O.J. Howard,TE,TB,104,21.5,97,180,5
13.09,153.2,Dede Westbrook,WR,JAX,79,12.3,121,173,9
13.09,153.3,Justin Tucker,PK,BAL,77,8.9,130,163,10
13.09,153.4,John Ross,WR,CIN,98,11.9,122,170,9
13.11,155.4,DeVante Parker,WR,MIA,80,10.5,135,178,11
13.12,155.5,Eli Manning,QB,NYG,80,16.6,112,179,9
13.12,155.7,Devontae Booker,RB,DEN,77,15.6,115,179,10
13.12,156.5,LeGarrette Blount,RB,DET,109,13.8,120,179,6
14.03,158.5,Dak Prescott,QB,DAL,78,16.4,115,180,8
14.03,158.7,Danny Amendola,WR,MIA,77,13.1,124,180,11
14.03,158.9,Chicago Defense,DEF,CHI,199,12.5,126,184,5
14.04,159.8,James Conner,RB,PIT,89,16.5,116,180,7
14.05,160.8,Theo Riddick,RB,DET,67,14.3,123,182,6
14.05,160.8,New England Defense,DEF,NE,79,12.6,128,180,11
14.06,162.5,Wil Lutz,PK,NO,57,3.8,154,175,6
14.07,163.4,Austin Ekeler,RB,LAC,63,12.8,133,180,8
14.09,164.5,Carolina Defense,DEF,CAR,89,12.6,131,180,4
14.12,167.9,Matt Bryant,PK,ATL,78,8.0,147,182,8
